ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Souls' Day,All Souls' Day_lower,All Souls' Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,Our Lady of Aparecida,Our Lady of Aparecida_lower,Our Lady of Aparecida_upper,Republic Proclamation Day,Republic Proclamation Day_lower,Republic Proclamation Day_upper,Tiradentes' Day,Tiradentes' Day_lower,Tiradentes' Day_upper,Universal Fraternization Day,Universal Fraternization Day_lower,Universal Fraternization Day_upper,Worker's Day,Worker's Day_lower,Worker's Day_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,categoria
2019-12-01,328.71919400927845,68.17759679739669,572.4444116607077,328.71919400927845,328.71919400927845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008225952948732351,0.008225952948732351,0.008225952948732351,0.008225952948732351,0.008225952948732351,0.008225952948732351,0.0,0.0,0.0,331.42322263254397,UNDERWARE
2019-12-02,328.67538159516624,100.0812165452567,569.0066074707839,328.67538159516624,328.67538159516624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011878590279259804,-0.011878590279259804,-0.011878590279259804,-0.011878590279259804,-0.011878590279259804,-0.011878590279259804,0.0,0.0,0.0,324.7711814023179,UNDERWARE
2019-12-03,328.6315691810539,86.12491048987745,560.6570001173784,328.6315691810539,328.6315691810539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02497405611019779,-0.02497405611019779,-0.02497405611019779,-0.02497405611019779,-0.02497405611019779,-0.02497405611019779,0.0,0.0,0.0,320.42430593274395,UNDERWARE
2019-12-04,328.5877567669417,72.88299916875691,569.9651982132925,328.5877567669417,328.5877567669417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030527610684717293,-0.030527610684717293,-0.030527610684717293,-0.030527610684717293,-0.030527610684717293,-0.030527610684717293,0.0,0.0,0.0,318.55675765259593,UNDERWARE
2019-12-05,328.54394435282944,77.45517332489045,542.8295696922635,328.54394435282944,328.54394435282944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02818337596358303,-0.02818337596358303,-0.02818337596358303,-0.02818337596358303,-0.02818337596358303,-0.02818337596358303,0.0,0.0,0.0,319.28446684857516,UNDERWARE
2019-12-06,328.5001319387171,85.38557783466744,568.1162441671427,328.5001319387171,328.50577089095856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017773974272656562,-0.017773974272656562,-0.017773974272656562,-0.017773974272656562,-0.017773974272656562,-0.017773974272656562,0.0,0.0,0.0,322.66137904507406,UNDERWARE
2019-12-07,328.4563195246049,102.02666468171374,565.3440766002516,328.4464271124041,328.48147270830066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000672477207409039,0.000672477207409039,0.000672477207409039,0.000672477207409039,0.000672477207409039,0.000672477207409039,0.0,0.0,0.0,328.67719891311464,UNDERWARE
2019-12-08,328.41250711049264,97.67928001721731,564.8092745010557,328.3826361927271,328.45595442672254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02693013860265686,0.02693013860265686,0.02693013860265686,0.02693013860265686,0.02693013860265686,0.02693013860265686,0.0,0.0,0.0,337.2567014458242,UNDERWARE
2019-12-09,328.36869469638043,121.0487468551247,587.3895347386178,328.32196719929294,328.4367863351035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06057808186200275,0.06057808186200275,0.06057808186200275,0.06057808186200275,0.06057808186200275,0.06057808186200275,0.0,0.0,0.0,348.26064036461673,UNDERWARE
2019-12-10,328.3248822822681,119.2657045683493,594.1436939898324,328.2510285733252,328.41992366761906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10100775927383165,0.10100775927383165,0.10100775927383165,0.10100775927383165,0.10100775927383165,0.10100775927383165,0.0,0.0,0.0,361.48824295544455,UNDERWARE
