id_data,id_loja,des_estabelecimento,id_produto,qtd_estoque
20191130,15,ATIBAIA,31209,2
20191130,7,GLICERIO,32815,1
20191130,4,INDAIATUBA,26771,4
20191130,16,VALINHOS,19264,1
20191130,20,SOROCABA,34385,1
20191130,8,CAMPINAS,19272,2
20191130,4,INDAIATUBA,14653,22
20191130,6,ITATIBA,33555,2
20191130,8,CAMPINAS,20074,2
20191130,8,CAMPINAS,27794,4
20191130,23,BRAGANÇA,15540,3
20191130,9,SUMARE,28351,2
20191130,27,SALTO,17289,2
20191130,4,INDAIATUBA,21376,1
20191130,7,GLICERIO,19376,2
20191130,7,GLICERIO,26775,3
20191130,27,SALTO,8271,3
20191130,16,VALINHOS,26777,1
20191130,4,INDAIATUBA,1555,1
20191130,9,SUMARE,29622,1
20191130,7,GLICERIO,13063,8
20191130,8,CAMPINAS,31177,2
20191130,6,ITATIBA,1020,2
20191130,9,SUMARE,34436,1
20191130,16,VALINHOS,32285,2
20191130,7,GLICERIO,4480,1
20191130,27,SALTO,2941,2
20191130,4,INDAIATUBA,19341,2
20191130,20,SOROCABA,20231,3
20191130,27,SALTO,22737,2
20191130,7,GLICERIO,14825,1
20191130,23,BRAGANÇA,10292,1
20191130,6,ITATIBA,26753,3
20191130,16,VALINHOS,21675,1
20191130,4,INDAIATUBA,16066,3
20191130,7,GLICERIO,10712,2
20191130,6,ITATIBA,34066,1
20191130,6,ITATIBA,31954,1
20191130,15,ATIBAIA,33936,1
20191130,23,BRAGANÇA,35207,1
20191130,23,BRAGANÇA,32319,1
20191130,15,ATIBAIA,21959,1
20191130,9,SUMARE,14166,1
20191130,23,BRAGANÇA,8151,2
20191130,23,BRAGANÇA,25976,1
20191130,20,SOROCABA,19332,2
20191130,20,SOROCABA,16161,1
20191130,6,ITATIBA,33559,1
20191130,4,INDAIATUBA,11048,1
20191130,9,SUMARE,11271,1
20191130,4,INDAIATUBA,16440,1
20191130,7,GLICERIO,32803,1
20191130,23,BRAGANÇA,9051,1
20191130,8,CAMPINAS,28033,1
20191130,27,SALTO,17112,2
20191130,7,GLICERIO,7329,1
20191130,23,BRAGANÇA,33794,2
20191130,23,BRAGANÇA,20054,2
20191130,23,BRAGANÇA,13988,4
20191130,20,SOROCABA,21781,1
20191130,9,SUMARE,18349,2
20191130,15,ATIBAIA,21059,2
20191130,16,VALINHOS,6526,9
20191130,20,SOROCABA,19201,1
20191130,6,ITATIBA,16220,1
20191130,4,INDAIATUBA,33355,9
20191130,9,SUMARE,5996,1
20191130,4,INDAIATUBA,21021,2
20191130,8,CAMPINAS,14615,4
20191130,7,GLICERIO,2481,3
20191130,8,CAMPINAS,32322,1
20191130,7,GLICERIO,15051,3
20191130,20,SOROCABA,21423,1
20191130,7,GLICERIO,10186,1
20191130,6,ITATIBA,825,3
20191130,20,SOROCABA,23090,6
20191130,8,CAMPINAS,23438,1
20191130,7,GLICERIO,5997,3
20191130,27,SALTO,8806,3
20191130,8,CAMPINAS,27226,2
20191130,7,GLICERIO,23041,2
20191130,8,CAMPINAS,26852,3
20191130,8,CAMPINAS,34299,3
20191130,7,GLICERIO,8807,5
20191130,7,GLICERIO,22293,2
20191130,8,CAMPINAS,34558,3
20191130,4,INDAIATUBA,28338,1
20191130,23,BRAGANÇA,20792,2
20191130,6,ITATIBA,14851,7
20191130,20,SOROCABA,16144,3
20191130,23,BRAGANÇA,19305,1
20191130,6,ITATIBA,33624,4
20191130,20,SOROCABA,24477,1
20191130,20,SOROCABA,21059,2
20191130,8,CAMPINAS,18821,2
20191130,4,INDAIATUBA,34862,1
20191130,16,VALINHOS,546,1
20191130,16,VALINHOS,16194,1
20191130,9,SUMARE,11053,5
20191130,7,GLICERIO,7372,7
20191130,15,ATIBAIA,32974,2
20191130,23,BRAGANÇA,34048,1
20191130,8,CAMPINAS,26763,2
20191130,27,SALTO,31103,1
20191130,20,SOROCABA,29065,1
20191130,4,INDAIATUBA,18273,1
20191130,20,SOROCABA,31141,6
20191130,20,SOROCABA,34210,1
20191130,20,SOROCABA,14618,1
20191130,16,VALINHOS,15870,1
20191130,27,SALTO,34543,12
20191130,20,SOROCABA,2430,1
20191130,27,SALTO,22736,1
20191130,7,GLICERIO,18144,1
20191130,8,CAMPINAS,13137,8
20191130,20,SOROCABA,20990,2
20191130,7,GLICERIO,30232,1
20191130,4,INDAIATUBA,26770,6
20191130,9,SUMARE,18327,1
20191130,20,SOROCABA,18322,2
20191130,6,ITATIBA,15263,4
20191130,20,SOROCABA,16764,1
20191130,15,ATIBAIA,33028,1
20191130,9,SUMARE,1589,1
20191130,15,ATIBAIA,23081,1
20191130,15,ATIBAIA,20105,1
20191130,16,VALINHOS,21851,1
20191130,6,ITATIBA,6313,2
20191130,6,ITATIBA,9006,3
20191130,20,SOROCABA,34028,1
20191130,20,SOROCABA,21784,1
20191130,16,VALINHOS,19104,1
20191130,4,INDAIATUBA,5691,1
20191130,16,VALINHOS,34068,2
20191130,27,SALTO,2438,3
20191130,15,ATIBAIA,8956,1
20191130,4,INDAIATUBA,30228,2
20191130,8,CAMPINAS,6908,2
20191130,6,ITATIBA,31152,1
20191130,16,VALINHOS,28333,1
20191130,4,INDAIATUBA,20106,3
20191130,16,VALINHOS,26758,4
20191130,15,ATIBAIA,33514,3
20191130,23,BRAGANÇA,11305,3
20191130,4,INDAIATUBA,19336,2
20191130,16,VALINHOS,33118,1
20191130,4,INDAIATUBA,20740,1
20191130,6,ITATIBA,14916,2
20191130,8,CAMPINAS,33563,2
20191130,16,VALINHOS,10185,3
20191130,23,BRAGANÇA,18330,1
20191130,23,BRAGANÇA,2725,2
20191130,4,INDAIATUBA,15318,3
20191130,4,INDAIATUBA,7373,2
20191130,27,SALTO,22540,1
20191130,23,BRAGANÇA,12533,1
20191130,4,INDAIATUBA,31834,2
20191130,6,ITATIBA,34196,3
20191130,8,CAMPINAS,34065,3
20191130,23,BRAGANÇA,30656,3
20191130,6,ITATIBA,21220,2
20191130,20,SOROCABA,33638,1
20191130,9,SUMARE,28327,4
20191130,15,ATIBAIA,22942,1
20191130,8,CAMPINAS,34057,2
20191130,16,VALINHOS,18561,2
20191130,7,GLICERIO,33372,2
20191130,23,BRAGANÇA,14104,3
20191130,23,BRAGANÇA,21871,2
20191130,4,INDAIATUBA,31163,6
20191130,8,CAMPINAS,34055,1
20191130,8,CAMPINAS,21411,1
20191130,23,BRAGANÇA,24815,1
20191130,23,BRAGANÇA,14932,7
20191130,4,INDAIATUBA,1049,1
20191130,23,BRAGANÇA,4603,5
20191130,4,INDAIATUBA,20300,1
20191130,15,ATIBAIA,31033,2
20191130,6,ITATIBA,29864,1
20191130,16,VALINHOS,26740,1
20191130,20,SOROCABA,16195,2
20191130,9,SUMARE,26176,3
20191130,16,VALINHOS,20818,1
20191130,4,INDAIATUBA,22908,3
20191130,9,SUMARE,15300,2
20191130,23,BRAGANÇA,5106,4
20191130,4,INDAIATUBA,11090,2
20191130,9,SUMARE,27637,1
20191130,20,SOROCABA,21812,1
20191130,16,VALINHOS,16214,1
20191130,23,BRAGANÇA,16140,5
20191130,23,BRAGANÇA,19268,22
20191130,16,VALINHOS,13953,2
20191130,16,VALINHOS,34028,1
20191130,7,GLICERIO,22535,1
20191130,4,INDAIATUBA,33754,2
